GIMIMO_METAI,GIMIMO_VALSTYBE,LYTIS,SEIMOS_PADETIS,KIEK_TURI_VAIKU,SENIUNIJA,GATVE,SENIUNNR,TER_REJ_KODAS,GATV_K,GAT_ID
2004,LTU,V,,0,,,,G1,3623,
1980,BLR,V,,0,Naujamiestis,"Geležinkelio g.",17,G1,137,21993
1964,LTU,M,V,0,Pilaitė,"Tolminkiemio g.",12,G1,547,22386
2000,LTU,V,,0,Naujamiestis,"Gedimino pr.",17,G1,135,21991
1986,LTU,M,V,2,"Naujoji  Vilnia","Genių g.",14,G1,142,21998
1987,LTU,M,,1,Lazdynai,"Architektų g.",11,G1,27,21888
1971,LTU,V,,0,Karoliniškės,"Laisvės pr.",10,G1,272,22123
1978,LTU,V,V,2,Verkiai,"Laumių g.",1,G1,763,24715
1971,UKR,V,V,0,Naujamiestis,"Geležinkelio g.",17,G1,137,21993
2022,LTU,V,,0,Naujininkai,"Šaltkalvių g.",19,G1,646,22478
2012,LTU,M,,0,Naujamiestis,"S. Konarskio g.",17,G1,475,22316
1992,LTU,M,,0,Žirmūnai,"Tuskulėnų g.",2,G1,562,22400
2012,LTU,M,,0,Verkiai,"Sakališkių g.",1,G1,2093,49694
1982,LTU,V,V,1,Naujamiestis,"M. K. Čiurlionio g.",17,G1,315,22164
1959,LTU,M,I,0,"Naujoji  Vilnia","Žemoji g.",14,G1,686,22517
1960,LTU,M,V,0,Verkiai,"Petro Baublio g.",1,G1,807,28028
1986,BLR,V,,0,Pašilaičiai,"Ukmergės g.",7,G1,567,22404
1958,LTU,M,V,0,Karoliniškės,"Laisvės pr.",10,G1,272,22123
1979,BLR,V,,0,Paneriai,"V. A. Graičiūno g.",20,G1,725,24275
1969,LTU,M,,0,Žirmūnai,"Tuskulėnų g.",2,G1,562,22400
1990,LTU,V,,0,"Naujoji  Vilnia","Gerovės g.",14,G1,145,22001
1974,LTU,V,V,0,Žirmūnai,"Žirmūnų g.",2,G1,694,22524
2011,LTU,M,,0,Rasos,"Tyzenhauzų g.",15,G1,565,22403
2022,LTU,M,,0,Pilaitė,"Bitėnų g.",12,G1,1618,49100
1996,LTU,M,,0,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
1984,LTU,V,V,1,Verkiai,"Pakalnio g.",1,G1,1662,49932
1976,LTU,V,I,0,Grigiškės,"Šaltinio g. (Grigiškės)",21,G89,530,24571
1996,LTU,M,,0,Pilaitė,"Smalinės g.",12,G1,503,22343
1996,LTU,V,,0,Naujamiestis,"M. Valančiaus g.",17,G1,321,22169
1969,LTU,V,V,0,"Naujoji  Vilnia","Gerovės g.",14,G1,145,22001
1997,LTU,M,,0,Verkiai,"Bajorų kel.",1,G1,800,28025
1998,LTU,V,V,1,Grigiškės,"Kranto g. (Grigiškės)",21,G89,514,24551
1968,LTU,V,V,0,Naujininkai,"Panevėžio g.",19,G1,394,22239
2018,LTU,V,,0,Verkiai,"Pagubės Sodų 10-oji g.",1,G1,1877,50668
1983,LTU,M,,0,Naujamiestis,"Pamėnkalnio g.",17,G1,392,22237
1992,LTU,M,V,1,Pašilaičiai,"Dociškių g.",7,G1,2648,61712
1952,LTU,M,V,0,Rasos,"Krėvos g.",15,G1,258,22109
1996,LTU,M,,0,Žirmūnai,"Tuskulėnų g.",2,G1,562,22400
1971,LTU,M,V,0,Verkiai,"Skersinės g.",1,G1,495,22336
2008,LTU,V,,0,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
2011,LTU,M,,0,Naujamiestis,"A. Vivulskio g.",17,G1,189,22042
1954,LTU,M,V,0,,,,A461,,
1955,LTU,V,V,0,Karoliniškės,"Loretos Asanavičiūtės g.",10,G1,699,22528
2010,LTU,M,,0,"Naujoji  Vilnia","Parko g.",14,G1,399,22244
1992,RUS,M,,0,Pašilaičiai,"Virbeliškių g.",7,G1,2654,61724
1979,LTU,V,V,2,Pašilaičiai,"Medeinos g.",7,G1,330,22178
1982,BLR,M,V,1,Rasos,"Manufaktūrų g.",15,G1,3345,273412
1959,LTU,V,I,0,Karoliniškės,"Laisvės pr.",10,G1,272,22123
2013,LTU,V,,0,Žirmūnai,"Šeimyniškių g.",2,G1,651,22483
1962,LTU,V,V,0,Senamiestis,"Krivių g.",16,G1,1254,22537
1942,LTU,V,V,0,Pašilaičiai,"Gabijos g.",7,G1,125,21981
1945,LTU,V,V,0,Verkiai,"J. Franko g.",1,G1,1639,49188
1958,LTU,V,V,0,Naujininkai,"Panevėžio g.",19,G1,394,22239
1997,DEU,V,,0,Verkiai,"Santaros g.",1,G1,3203,255810
1987,UKR,M,,1,,,,A461,,
1979,LTU,M,V,1,Fabijoniškės,"Salomėjos Nėries g.",4,G1,2656,61728
1980,LTU,V,I,1,Viršuliškės,"Juozo Rutkausko g.",9,G1,2988,208468
1984,LTU,V,V,2,Lazdynai,"Architektų g.",11,G1,27,21888
1987,LTU,M,,0,Naujamiestis,"S. Konarskio g.",17,G1,475,22316
2019,LTU,M,,0,Verkiai,"V. Mačernio g.",1,G1,918,30992
1982,LTU,M,V,3,"Naujoji  Vilnia","Grūdų g.",14,G1,159,22013
1962,LTU,M,I,0,Lazdynai,"Architektų g.",11,G1,27,21888
1989,LTU,V,V,2,Naujamiestis,"Kauno g.",17,G1,231,22082
2004,UKR,V,,0,,,,A461,,
1950,LTU,V,V,0,Pilaitė,"Gumbinės g.",12,G1,162,22016
1972,LTU,M,V,0,Naujamiestis,"A. Goštauto g.",17,G1,154,24045
1947,LTU,M,N,0,Žvėrynas,"Stirnų g.",6,G1,518,22358
1984,LTU,V,V,1,Verkiai,"Mokyklos g.",1,G1,350,22197
1973,LTU,M,V,0,Rasos,"Tyzenhauzų g.",15,G1,565,22403
1937,LTU,M,N,0,Antakalnis,"Nemenčinės pl.",13,G1,369,22214
2009,LTU,V,,0,Lazdynai,"Neužmirštuolių g.",11,G1,837,28271
1990,LTU,V,,0,Fabijoniškės,"P. Žadeikos g.",4,G1,381,22226
2003,LTU,M,,0,Senamiestis,"Šv. Dvasios g.",16,G1,667,22498
1990,LTU,M,,0,Senamiestis,"V. Šopeno g.",16,G1,120,21976
1950,LTU,M,N,0,"Naujoji  Vilnia","Žemoji g.",14,G1,686,22517
1991,LTU,V,I,0,Vilkpėdė,"Gerosios Vilties g.",18,G1,144,22000
1936,RUS,M,,0,Naujamiestis,"Naugarduko g.",17,G1,364,22209
1975,LTU,V,V,1,Karoliniškės,"Algimanto Petro Kavoliuko g.",10,G1,910,30663
1946,LTU,M,V,0,Karoliniškės,"Loretos Asanavičiūtės g.",10,G1,699,22528
1939,RUS,M,N,0,Paneriai,"Abromiškių g.",20,G1,3095,230561
2014,LTU,V,,0,Verkiai,"Kryžiokų g.",1,G1,2096,49290
1990,EST,V,,0,Karoliniškės,"Virginijaus Druskio g.",10,G1,412,22257
1948,LTU,M,N,0,Pašilaičiai,"Medeinos g.",7,G1,330,22178
